# Anonymized scores for a random subset of 50 students
"total" "final" "quiz" "hw" "midterm"
"1" 71.6 56.8 95 97 71.7
"2" 70.1 60.2 85 99 58.3
"3" 60.6 55.7 68.3 94.5 35
"4" 71.3 76.1 72.1 67 63.3
"5" 57.4 61.4 42.7 80.5 31.7
"6" 76.3 64.8 90 96 78.3
"7" 61.5 54.5 76.7 93 40
"8" 73.9 69.3 86.2 98 55
"9" 80.3 67 95 98 88.3
"10" 52.1 28.4 61.3 99 60
"11" 65.6 51.1 92.5 94 60
"12" 70.6 61.4 72.5 91.5 71.7
"13" 80.2 73.9 76.2 98 80
"14" 83.7 78.4 93.8 99 76.7
"15" 76 79.5 92.5 98 36.7
"16" 82.5 71.6 95 96 90
"17" 82.7 79.5 92.9 96.5 71.7
"18" 82.1 75 76.2 95 90
"19" 60.1 55.7 69.2 55 71.7
"20" 63.8 56.8 75 93 46.7
"21" 68 62.5 61.3 96.5 56.7
"22" 66.3 54.5 84.2 98 55
"23" 74.1 67 77.9 99 65
"24" 71.4 64.8 73.8 93 65
"25" 59.5 44.3 75.4 99 50
"26" 68.4 55.7 92.1 100 56.7
"27" 75.8 69.3 82.5 86 78.3
"28" 60.2 54.5 57.1 79.5 56.7
"29" 66.2 50 87.1 96 66.7
"30" 69.2 68.2 65.4 94.5 48.3
"31" 76.5 78.4 78.8 84 63.3
"32" 70.2 60.2 75.8 99 63.3
"33" 79.4 67 97.5 99 81.7
"34" 84.6 77.3 96.2 95 86.7
"35" 70.2 63.6 80.8 98 53.3
"36" 75.8 63.6 87.9 97.5 78.3
"37" 78.2 71.6 85.8 99 70
"38" 66 70.5 50.8 70 58.3
"39" 89.6 90.9 95 98 75
"40" 75.2 72.7 78.8 88 66.7
"41" 69.4 55.7 93.3 96 65
"42" 75.7 63.6 91.7 100 73.3
"43" 77.2 71.6 86.2 97 66.7
"44" 71 68.2 77.5 96 50
"45" 75.4 67 92.5 98 65
"46" 75.5 68.2 90.4 90 71.7
"47" 83.4 75 90 96 88.3
"48" 61.1 46.6 76.2 94 56.7
"49" 68.5 56.8 75.4 97.5 65
"50" 69.1 68.2 70.8 98 41.7
