# The United States of America, Life expectancy at birth.
# Downloaded from Human Mortality Database on 30 Oct 2017.
# HMD request that you register at http://www.mortality.org 
# if you use these data for research purposes.
  Year       Female    Male     Total
  1933        62.78    59.17    60.88
  1934        62.34    58.34    60.23
  1935        63.04    58.96    60.89
  1936        62.60    58.35    60.35
  1937        63.37    59.00    61.05
  1938        64.54    60.45    62.39
  1939        65.25    61.12    63.07
  1940        65.57    61.14    63.23
  1941        66.27    61.59    63.80
  1942        67.17    62.26    64.59
  1943        66.90    61.90    64.30
  1944        67.76    62.54    65.09
  1945        68.34    62.96    65.58
  1946        69.02    63.76    66.28
  1947        69.45    64.19    66.69
  1948        70.10    64.69    67.25
  1949        70.52    65.02    67.63
  1950        71.02    65.40    68.07
  1951        71.22    65.41    68.17
  1952        71.50    65.55    68.39
  1953        71.92    65.80    68.72
  1954        72.70    66.57    69.50
  1955        72.80    66.58    69.56
  1956        72.95    66.61    69.64
  1957        72.74    66.36    69.41
  1958        73.00    66.60    69.67
  1959        73.31    66.75    69.89
  1960        73.31    66.63    69.83
  1961        73.70    67.03    70.24
  1962        73.59    66.88    70.11
  1963        73.50    66.63    69.94
  1964        73.81    66.82    70.19
  1965        73.93    66.80    70.24
  1966        73.97    66.69    70.21
  1967        74.33    66.93    70.52
  1968        74.09    66.57    70.22
  1969        74.40    66.77    70.48
  1970        74.65    67.02    70.74
  1971        74.96    67.37    71.09
  1972        75.11    67.43    71.18
  1973        75.32    67.62    71.40
  1974        75.86    68.19    71.97
  1975        76.45    68.72    72.54
  1976        76.68    69.09    72.85
  1977        77.08    69.41    73.22
  1978        77.23    69.63    73.42
  1979        77.66    70.01    73.83
  1980        77.48    69.99    73.74
  1981        77.80    70.41    74.13
  1982        78.08    70.81    74.47
  1983        78.09    70.97    74.56
  1984        78.18    71.13    74.69
  1985        78.18    71.08    74.67
  1986        78.27    71.15    74.75
  1987        78.36    71.32    74.88
  1988        78.31    71.32    74.86
  1989        78.57    71.60    75.13
  1990        78.85    71.85    75.40
  1991        78.98    72.04    75.55
  1992        79.19    72.33    75.81
  1993        78.94    72.18    75.60
  1994        79.06    72.40    75.77
  1995        79.09    72.59    75.89
  1996        79.23    73.08    76.21
  1997        79.39    73.55    76.53
  1998        79.44    73.82    76.70
  1999        79.37    73.94    76.72
  2000        79.45    74.14    76.86
  2001        79.53    74.28    76.97
  2002        79.61    74.37    77.04
  2003        79.74    74.56    77.20
  2004        80.11    75.00    77.61
  2005        80.13    75.00    77.62
  2006        80.40    75.30    77.90
  2007        80.64    75.59    78.16
  2008        80.69    75.73    78.25
  2009        81.03    76.12    78.62
  2010        81.21    76.36    78.83
  2011        81.23    76.45    78.88
  2012        81.36    76.59    79.01
  2013        81.38    76.60    79.02
  2014        81.47    76.67    79.10
  2015        81.35    76.50    78.95
