# Variables are as follows					
# total_crime_count = total overall reported crime rate per 1 million residents					
#annual_police_funding = annual police funding in $/resident					
# pct_25_hs_grad = % of people 25 years+ with 4 yrs. of high school					
# pct_19_not_hs_grad = % of 16 to 19 year-olds not in highschool and not highschool graduates.					
# pct_24_college = % of 18 to 24 year-olds in college					
# pct_25_college = % of people 25 years+ with at least 4 years of college					
# source: http://college.cengage.com/mathematics/brase/understandable_statistics/7e/students/datasets/mlr/frames/frame.html					
total_crime_count	annual_police_funding	pct_25_hs_grad	pct_19_not_hs_grad	pct_24_college	pct_25_college
478	40	74	11	31	20
494	32	72	11	43	18
643	57	70	18	16	16
341	31	71	11	25	19
773	67	72	9	29	24
603	25	68	8	32	15
484	34	68	12	24	14
546	33	62	13	28	11
424	36	69	7	25	12
548	31	66	9	58	15
506	35	60	13	21	9
819	30	81	4	77	36
541	44	66	9	37	12
491	32	67	11	37	16
514	30	65	12	35	11
371	16	64	10	42	14
457	29	64	12	21	10
437	36	62	7	81	27
570	30	59	15	31	16
432	23	56	15	50	15
619	33	46	22	24	8
357	35	54	14	27	13
623	38	54	20	22	11
547	44	45	26	18	8
792	28	57	12	23	11
799	35	57	9	60	18
439	31	61	19	14	12
867	39	52	17	31	10
912	27	44	21	24	9
462	36	43	18	23	8
859	38	48	19	22	10
805	46	57	14	25	12
652	29	47	19	25	9
776	32	50	19	21	9
919	39	48	16	32	11
732	44	49	13	31	14
657	33	72	13	13	22
1419	43	59	14	21	13
989	22	49	9	46	13
821	30	54	13	27	12
1740	86	62	22	18	15
815	30	47	17	39	11
760	32	45	34	15	10
936	43	48	26	23	12
863	20	69	23	7	12
783	55	42	23	23	11
715	44	49	18	30	12
1504	37	57	15	35	13
1324	82	72	22	15	16
940	66	67	26	18	16
